Zipcode,ZipCodeType,City,Nearby,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
71301,STANDARD,ALEXANDRIA,"NACOGDOCHES,SHREVEPORT,JACKSON,NEW ORLEANS",LA,PRIMARY,31.29,-92.46,NA-US-LA-ALEXANDRIA,false,9432,16189,268191608
30303,STANDARD,ATLANTA,"BIRMINGHAM,KNOXVILLE,SAVANNAH",GA,PRIMARY,33.75,-84.39,NA-US-GA-ATLANTA,false,33430,33905,56802672
35201,PO BOX,BIRMINGHAM,"MEMPHIS,ATLANTA,MONTGOMERY",AL,PRIMARY,33.52,-86.79,NA-US-AL-BIRMINGHAM,false,407,601,10728924
77002,STANDARD,HOUSTON,"NACOGDOCHES,ALEXANDRIA,NEW ORLEANS",TX,PRIMARY,29.76,-95.38,NA-US-TX-HOUSTON,false,3599,4878,419537136
39201,STANDARD,JACKSON,"SHREVEPORT,MEMPHIS,MONTGOMERY,MOBILE,ALEXANDRIA",MS,PRIMARY,32.32,-90.2,NA-US-MS-JACKSON,false,276,407,6279788
32099,STANDARD,JACKSONVILLE,"TALLAHASSEE,SAVANNAH,ORLANDO",FL,PRIMARY,30.33,-81.65,NA-US-FL-JACKSONVILLE,false,,,
37902,STANDARD,KNOXVILLE,"NASHVILLE,ATLANTA",TN,PRIMARY,35.97,-83.94,NA-US-TN-KNOXVILLE,false,649,831,26780330
38103,STANDARD,MEMPHIS,"OKLAHOMA CITY,NASHVILLE,BIRMINGHAM",TN,PRIMARY,35.1,-90,NA-US-TN-MEMPHIS,false,4999,6948,332100687
36602,STANDARD,MOBILE,"NEW ORLEANS,JACKSON,MONTGOMERY,PENSACOLA",AL,PRIMARY,30.68,-88.04,NA-US-AL-MOBILE,false,463,660,14697484
36104,STANDARD,MONTGOMERY,"JACKSON,BIRMINGHAM,ATLANTA,SAVANNAH,TALLAHASSEE,MOBILE,PENSACOLA",AL,PRIMARY,32.35,-86.28,NA-US-AL-MONTGOMERY,false,3594,6082,71180070
75961,STANDARD,NACOGDOCHES,"HOUSTON,ALEXANDRIA,SHREVEPORT",TX,PRIMARY,31.61,-94.65,NA-US-TX-NACOGDOCHES,false,5493,9752,151417401
37201,STANDARD,NASHVILLE,"KNOXVILLE,MEMPHIS,BIRMINGHAM",TN,PRIMARY,36.17,-86.78,NA-US-TN-NASHVILLE,false,767,905,34289275
70112,STANDARD,NEW ORLEANS,"HOUSTON,ALEXANDRIA,MOBILE,PENSACOLA",LA,PRIMARY,30.06,-89.93,NA-US-LA-NEW ORLEANS,false,1543,2310,46228230
73102,STANDARD,OKLAHOMA CITY,"SHREVEPORT,MEMPHIS",OK,PRIMARY,35.46,-97.51,NA-US-OK-OKLAHOMA CITY,false,918,1223,48494959
32801,STANDARD,ORLANDO,JACKSONVILLE,FL,PRIMARY,28.5,-81.37,NA-US-FL-ORLANDO,false,5871,7428,276354592
32501,STANDARD,PENSACOLA,"MOBILE,TALLAHASSEE,MONTGOMERY",FL,PRIMARY,30.44,-87.18,NA-US-FL-PENSACOLA,false,4548,7027,120433319
31404,STANDARD,SAVANNAH,"ATLANTA,JACKSONVILLE,TALLAHASSEE",GA,PRIMARY,32.08,-81.1,NA-US-GA-SAVANNAH,false,13516,21783,314767958
71101,STANDARD,SHREVEPORT,"OKLAHOMA CITY,NACOGDOCHES,ALEXANDRIA,JACKSON,MEMPHIS",LA,PRIMARY,32.47,-93.79,NA-US-LA-SHREVEPORT,false,3338,5434,72186069
32301,STANDARD,TALLAHASSEE,"PENSACOLA,JACKSONVILLE",FL,PRIMARY,30.45,-84.28,NA-US-FL-TALLAHASSEE,false,12111,17380,357028803
